nombre_institucion,codigo_snies_del_programa,modalidad,municipio_oferta_programa,numero_creditos,numero_periodos_de_duracion,costo_matricula_estud_nuevos,mean_punt_global
COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-,1770,Presencial,"Bogotá, D.C.",175,9,22304200,185.13186813186815
UNIVERSIDAD DE LOS ANDES,1536,Presencial,"Bogotá, D.C.",140,8,24162990,182.8804347826087
UNIVERSIDAD NACIONAL DE COLOMBIA,19,Presencial,"Bogotá, D.C.",164,10,NA,180.54430379746836
UNIVERSIDAD DE LA SABANA,1240,Presencial,Chía,180,9,17915000,178.80898876404495
UNIVERSIDAD DE ANTIOQUIA,439,Presencial,Medellín,162,10,540663,175.96
UNIVERSIDAD DE NARIÑO,788,Presencial,Pasto,170,10,470008,173.5
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,1299,Presencial,"Bogotá, D.C.",140,8,18515343,166.09302325581396
UNIVERSIDAD EAN,9517,Virtual,"Bogotá, D.C.",144,9,4864000,158.28865979381445
FUNDACION UNIVERSITARIA-CEIPA-,52092,Virtual,Sabaneta,160,4,8868320,139.29680365296804
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,1688,Virtual,"Bogotá, D.C.",151,9,NA,136.63536918869644
